pair_id,phenomenon,n_annotators,mean_change,median_change,sd_change,mean_confidence,mean_fluency_s,mean_fluency_cf,agreement_flag
neg_000070,negation,3,3.72,3.79,0.35028559776274015,3.6633333333333336,5.0,5.0,True
neg_000071,negation,3,3.6,3.33,0.502692749102272,3.3266666666666667,5.0,5.0,True
neg_000087,negation,3,3.6,3.6,0.7299999999999999,4.406666666666666,5.0,5.0,True
neg_000089,negation,3,3.39,3.57,0.44799553569204265,3.59,5.0,5.0,True
neg_000096,negation,3,3.716666666666667,3.88,0.43844421918111,4.536666666666666,5.0,5.0,True
neg_000097,negation,3,3.623333333333333,3.55,0.2098412098071619,3.9000000000000004,5.0,5.0,True
neg_000098,negation,3,3.5700000000000003,3.74,0.4972926703662544,4.1466666666666665,5.0,5.0,True
neg_000099,negation,3,3.466666666666667,3.13,0.7814303125252652,3.7399999999999998,5.0,5.0,True
role_000002,role_reversal,3,3.9433333333333334,3.95,0.3500476158086688,3.426666666666667,5.0,5.0,True
role_000003,role_reversal,3,3.97,3.88,0.5406477596365308,4.036666666666666,5.0,5.0,True
role_000011,role_reversal,3,4.213333333333334,4.35,0.5968528573554233,4.033333333333333,5.0,5.0,True
role_000012,role_reversal,3,4.266666666666667,4.58,0.6767815994346577,3.6333333333333333,5.0,5.0,True
role_000025,role_reversal,3,3.6566666666666667,3.58,0.2154839514519198,4.243333333333333,5.0,5.0,True
role_000027,role_reversal,3,4.366666666666666,4.54,0.37166292972710274,4.173333333333333,5.0,5.0,True
role_000030,role_reversal,3,3.7099999999999995,3.71,0.10000000000000009,3.6766666666666663,5.0,5.0,True
role_000032,role_reversal,3,4.426666666666667,4.76,0.5947548514584253,3.736666666666667,5.0,5.0,True
role_000033,role_reversal,3,4.510000000000001,4.51,0.17999999999999994,3.6633333333333336,5.0,5.0,True
role_000035,role_reversal,3,4.1,4.14,0.26229754097208013,3.17,5.0,5.0,True
role_000049,role_reversal,3,4.043333333333333,3.83,0.6469415223444336,3.5500000000000003,5.0,5.0,True
role_000051,role_reversal,3,4.396666666666667,4.37,0.41064989143226793,4.296666666666667,5.0,5.0,True
role_000052,role_reversal,3,4.31,4.71,0.7900000000000005,3.5066666666666664,5.0,5.0,True
role_000053,role_reversal,3,4.083333333333333,4.3,0.576396854027963,4.386666666666667,5.0,5.0,True
role_000060,role_reversal,3,4.183333333333334,4.16,0.18610033136277135,3.426666666666667,5.0,5.0,True
role_000061,role_reversal,3,3.9233333333333333,3.98,0.22052966542697444,3.64,5.0,5.0,True
role_000064,role_reversal,3,4.403333333333333,4.47,0.23713568549109912,3.56,5.0,5.0,True
role_000066,role_reversal,3,3.85,3.87,0.27055498516937404,4.06,5.0,5.0,True
role_000067,role_reversal,3,4.37,4.29,0.3078960863668129,3.9499999999999997,5.0,5.0,True
role_000070,role_reversal,3,3.8866666666666667,3.72,0.36018513757973575,4.013333333333333,5.0,5.0,True
role_000072,role_reversal,3,4.516666666666667,4.43,0.3384277372399211,3.4033333333333338,5.0,5.0,True
role_000075,role_reversal,3,4.7,4.81,0.19924858845171248,3.98,5.0,5.0,True
role_000076,role_reversal,3,4.126666666666667,4.15,0.39551653989856483,4.036666666666666,5.0,5.0,True
role_000077,role_reversal,3,4.273333333333333,4.12,0.4404921490030588,3.703333333333333,5.0,5.0,True
role_000087,role_reversal,3,4.8500000000000005,4.88,0.09848857801796083,3.0866666666666664,5.0,5.0,True
role_000088,role_reversal,3,3.72,3.52,0.445084261685358,3.6533333333333338,5.0,5.0,True
role_000090,role_reversal,3,4.31,4.15,0.43278170016764766,4.239999999999999,5.0,5.0,True
role_000092,role_reversal,3,4.206666666666667,3.88,0.6814934580268057,4.243333333333333,5.0,5.0,True
role_000093,role_reversal,3,4.3999999999999995,4.57,0.38431757701151276,4.033333333333333,5.0,5.0,True
role_000095,role_reversal,3,3.963333333333333,3.94,0.24583192089989717,3.8833333333333333,5.0,5.0,True
