pair_id,phenomenon,s,s_cf,annotator_id,batch_id,human_change_0_5,confidence_1_5,fluency_s_1_5,fluency_cf_1_5,plausibility_s_1_5,plausibility_cf_1_5,changed_words,attention_check,created_at
role_000693,role_reversal,The lawyer ignored the engineer.,The engineer ignored the lawyer.,sim_2,pilot_simulated_v1,4.0,4.23,5.0,5.0,3.42,4.55,,True,simulated
role_000693,role_reversal,The lawyer ignored the engineer.,The engineer ignored the lawyer.,sim_3,pilot_simulated_v1,4.37,4.25,5.0,5.0,3.54,3.99,,True,simulated
neg_000238,negation,The writer did not admire the student.,The writer admired the student.,sim_1,pilot_simulated_v1,3.73,3.98,5.0,5.0,3.77,4.16,,True,simulated
neg_000238,negation,The writer did not admire the student.,The writer admired the student.,sim_2,pilot_simulated_v1,3.35,3.39,5.0,5.0,3.46,4.09,,True,simulated
neg_000238,negation,The writer did not admire the student.,The writer admired the student.,sim_3,pilot_simulated_v1,2.98,3.25,5.0,5.0,3.31,4.03,,True,simulated
role_000786,role_reversal,The scientist called the coach.,The coach called the scientist.,sim_1,pilot_simulated_v1,4.29,3.89,5.0,5.0,3.26,3.7,,True,simulated
role_000786,role_reversal,The scientist called the coach.,The coach called the scientist.,sim_2,pilot_simulated_v1,3.95,2.99,5.0,5.0,3.2,4.6,,True,simulated
role_000786,role_reversal,The scientist called the coach.,The coach called the scientist.,sim_3,pilot_simulated_v1,3.59,3.4,5.0,5.0,3.63,3.96,,True,simulated
neg_001121,negation,The lawyer hired the scientist.,The lawyer did not hire the scientist.,sim_1,pilot_simulated_v1,2.92,3.74,5.0,5.0,3.79,4.34,,True,simulated
neg_001121,negation,The lawyer hired the scientist.,The lawyer did not hire the scientist.,sim_2,pilot_simulated_v1,2.81,3.47,5.0,5.0,3.99,4.55,,True,simulated
neg_001121,negation,The lawyer hired the scientist.,The lawyer did not hire the scientist.,sim_3,pilot_simulated_v1,3.63,3.75,5.0,5.0,4.27,3.47,,True,simulated
neg_001320,negation,The waiter did not hire the chef.,The waiter hired the chef.,sim_1,pilot_simulated_v1,2.85,3.8,5.0,5.0,4.66,4.18,,True,simulated
neg_001320,negation,The waiter did not hire the chef.,The waiter hired the chef.,sim_2,pilot_simulated_v1,3.21,4.17,5.0,5.0,4.56,3.41,,True,simulated
neg_001320,negation,The waiter did not hire the chef.,The waiter hired the chef.,sim_3,pilot_simulated_v1,3.74,3.51,5.0,5.0,3.59,3.46,,True,simulated
attach_000931,attachment,"With the microscope, the artist observed the scientist.",The artist observed the scientist who had the microscope.,sim_1,pilot_simulated_v1,2.33,3.5,5.0,5.0,3.26,3.64,,True,simulated
attach_000931,attachment,"With the microscope, the artist observed the scientist.",The artist observed the scientist who had the microscope.,sim_2,pilot_simulated_v1,2.14,4.32,5.0,5.0,4.16,3.01,,True,simulated
attach_000931,attachment,"With the microscope, the artist observed the scientist.",The artist observed the scientist who had the microscope.,sim_3,pilot_simulated_v1,3.24,3.18,5.0,5.0,3.97,3.89,,True,simulated
role_001345,role_reversal,The musician thanked the engineer.,The engineer thanked the musician.,sim_1,pilot_simulated_v1,3.93,3.38,5.0,5.0,3.9,3.22,,True,simulated
role_001345,role_reversal,The musician thanked the engineer.,The engineer thanked the musician.,sim_2,pilot_simulated_v1,4.78,3.02,5.0,5.0,4.52,3.35,,True,simulated
role_001345,role_reversal,The musician thanked the engineer.,The engineer thanked the musician.,sim_3,pilot_simulated_v1,3.89,3.58,5.0,5.0,3.25,3.21,,True,simulated
attach_000098,attachment,The nurse showed the guide with the map.,"With the map, the nurse showed the guide.",sim_1,pilot_simulated_v1,2.58,3.68,5.0,5.0,4.6,4.58,,True,simulated
attach_000098,attachment,The nurse showed the guide with the map.,"With the map, the nurse showed the guide.",sim_2,pilot_simulated_v1,2.07,3.87,5.0,5.0,3.41,4.29,,True,simulated
attach_000098,attachment,The nurse showed the guide with the map.,"With the map, the nurse showed the guide.",sim_3,pilot_simulated_v1,2.52,4.59,5.0,5.0,4.07,3.2,,True,simulated
role_001352,role_reversal,The writer praised the researcher.,The researcher praised the writer.,sim_1,pilot_simulated_v1,3.41,3.3,5.0,5.0,4.59,3.24,,True,simulated
role_001352,role_reversal,The writer praised the researcher.,The researcher praised the writer.,sim_2,pilot_simulated_v1,4.17,3.54,5.0,5.0,3.75,4.28,,True,simulated
role_001352,role_reversal,The writer praised the researcher.,The researcher praised the writer.,sim_3,pilot_simulated_v1,3.74,4.24,5.0,5.0,4.27,4.5,,True,simulated
attach_000571,attachment,"With the badge, the musician questioned the officer.",The musician questioned the officer who had the badge.,sim_1,pilot_simulated_v1,2.83,4.64,5.0,5.0,3.9,3.92,,True,simulated
attach_000571,attachment,"With the badge, the musician questioned the officer.",The musician questioned the officer who had the badge.,sim_2,pilot_simulated_v1,2.99,4.48,5.0,5.0,4.64,3.18,,True,simulated
attach_000571,attachment,"With the badge, the musician questioned the officer.",The musician questioned the officer who had the badge.,sim_3,pilot_simulated_v1,2.22,3.87,5.0,5.0,4.5,3.85,,True,simulated
role_001234,role_reversal,The engineer greeted the journalist.,The journalist greeted the engineer.,sim_1,pilot_simulated_v1,3.88,4.72,5.0,5.0,3.68,3.14,,True,simulated
role_001234,role_reversal,The engineer greeted the journalist.,The journalist greeted the engineer.,sim_2,pilot_simulated_v1,3.48,2.86,5.0,5.0,4.36,3.17,,True,simulated
role_001234,role_reversal,The engineer greeted the journalist.,The journalist greeted the engineer.,sim_3,pilot_simulated_v1,4.55,4.53,5.0,5.0,4.8,4.29,,True,simulated
attach_001209,attachment,The chef met the student with the notebook.,The chef met the student who had the notebook.,sim_1,pilot_simulated_v1,2.68,4.04,5.0,5.0,4.53,4.15,,True,simulated
attach_001209,attachment,The chef met the student with the notebook.,The chef met the student who had the notebook.,sim_2,pilot_simulated_v1,2.46,4.32,5.0,5.0,3.38,3.49,,True,simulated
attach_001209,attachment,The chef met the student with the notebook.,The chef met the student who had the notebook.,sim_3,pilot_simulated_v1,3.59,3.74,5.0,5.0,3.63,4.26,,True,simulated
attach_000603,attachment,The scientist photographed the tourist with the camera.,The scientist photographed the tourist who had the camera.,sim_1,pilot_simulated_v1,2.72,2.81,5.0,5.0,3.25,3.41,,True,simulated
attach_000603,attachment,The scientist photographed the tourist with the camera.,The scientist photographed the tourist who had the camera.,sim_2,pilot_simulated_v1,2.53,4.67,5.0,5.0,3.6,4.36,,True,simulated
attach_000603,attachment,The scientist photographed the tourist with the camera.,The scientist photographed the tourist who had the camera.,sim_3,pilot_simulated_v1,3.37,3.63,5.0,5.0,4.79,4.22,,True,simulated
role_000846,role_reversal,The athlete visited the writer.,The writer visited the athlete.,sim_1,pilot_simulated_v1,4.17,3.32,5.0,5.0,3.94,4.44,,True,simulated
role_000846,role_reversal,The athlete visited the writer.,The writer visited the athlete.,sim_2,pilot_simulated_v1,4.26,3.19,5.0,5.0,3.8,3.76,,True,simulated
role_000846,role_reversal,The athlete visited the writer.,The writer visited the athlete.,sim_3,pilot_simulated_v1,3.71,3.95,5.0,5.0,3.25,4.31,,True,simulated
role_000433,role_reversal,The lawyer visited the writer.,The writer visited the lawyer.,sim_1,pilot_simulated_v1,3.69,3.01,5.0,5.0,4.14,3.49,,True,simulated
role_000433,role_reversal,The lawyer visited the writer.,The writer visited the lawyer.,sim_2,pilot_simulated_v1,4.82,3.79,5.0,5.0,4.03,4.34,,True,simulated
role_000433,role_reversal,The lawyer visited the writer.,The writer visited the lawyer.,sim_3,pilot_simulated_v1,3.74,4.29,5.0,5.0,4.24,3.69,,True,simulated
role_000108,role_reversal,The driver called the teacher.,The teacher called the driver.,sim_1,pilot_simulated_v1,4.93,2.84,5.0,5.0,4.58,3.23,,True,simulated
role_000108,role_reversal,The driver called the teacher.,The teacher called the driver.,sim_2,pilot_simulated_v1,4.74,3.11,5.0,5.0,3.29,3.8,,True,simulated
role_000108,role_reversal,The driver called the teacher.,The teacher called the driver.,sim_3,pilot_simulated_v1,4.88,3.31,5.0,5.0,3.98,3.97,,True,simulated
neg_000808,negation,The coach did not praise the musician.,The coach praised the musician.,sim_1,pilot_simulated_v1,3.19,3.86,5.0,5.0,3.22,3.72,,True,simulated
neg_000808,negation,The coach did not praise the musician.,The coach praised the musician.,sim_2,pilot_simulated_v1,4.02,3.48,5.0,5.0,3.55,3.08,,True,simulated
neg_000808,negation,The coach did not praise the musician.,The coach praised the musician.,sim_3,pilot_simulated_v1,3.92,3.65,5.0,5.0,4.66,4.18,,True,simulated
role_001289,role_reversal,The artist interviewed the scientist.,The scientist interviewed the artist.,sim_1,pilot_simulated_v1,3.56,4.63,5.0,5.0,4.69,4.31,,True,simulated
role_001289,role_reversal,The artist interviewed the scientist.,The scientist interviewed the artist.,sim_2,pilot_simulated_v1,4.73,4.16,5.0,5.0,4.35,4.07,,True,simulated
role_001289,role_reversal,The artist interviewed the scientist.,The scientist interviewed the artist.,sim_3,pilot_simulated_v1,4.35,3.31,5.0,5.0,3.41,4.16,,True,simulated
attach_001028,attachment,The passenger noticed the teacher with the umbrella.,"With the umbrella, the passenger noticed the teacher.",sim_1,pilot_simulated_v1,2.95,2.91,5.0,5.0,4.23,3.98,,True,simulated
attach_001028,attachment,The passenger noticed the teacher with the umbrella.,"With the umbrella, the passenger noticed the teacher.",sim_2,pilot_simulated_v1,2.82,4.35,5.0,5.0,4.6,3.61,,True,simulated
attach_001028,attachment,The passenger noticed the teacher with the umbrella.,"With the umbrella, the passenger noticed the teacher.",sim_3,pilot_simulated_v1,3.3,3.8,5.0,5.0,4.12,3.66,,True,simulated
role_000725,role_reversal,The musician contacted the nurse.,The nurse contacted the musician.,sim_1,pilot_simulated_v1,4.89,3.69,5.0,5.0,4.72,3.54,,True,simulated
role_000725,role_reversal,The musician contacted the nurse.,The nurse contacted the musician.,sim_2,pilot_simulated_v1,4.48,4.63,5.0,5.0,4.29,3.6,,True,simulated
role_000725,role_reversal,The musician contacted the nurse.,The nurse contacted the musician.,sim_3,pilot_simulated_v1,3.52,3.76,5.0,5.0,3.86,4.3,,True,simulated
role_000524,role_reversal,The chef supported the athlete.,The athlete supported the chef.,sim_1,pilot_simulated_v1,4.65,4.77,5.0,5.0,3.92,3.66,,True,simulated
role_000524,role_reversal,The chef supported the athlete.,The athlete supported the chef.,sim_2,pilot_simulated_v1,4.3,4.3,5.0,5.0,3.33,3.34,,True,simulated
role_000524,role_reversal,The chef supported the athlete.,The athlete supported the chef.,sim_3,pilot_simulated_v1,3.63,3.45,5.0,5.0,3.68,4.55,,True,simulated
attach_000653,attachment,The judge observed the scientist with the microscope.,"With the microscope, the judge observed the scientist.",sim_1,pilot_simulated_v1,2.33,4.67,5.0,5.0,3.67,3.33,,True,simulated
attach_000653,attachment,The judge observed the scientist with the microscope.,"With the microscope, the judge observed the scientist.",sim_2,pilot_simulated_v1,3.56,2.98,5.0,5.0,3.38,3.21,,True,simulated
attach_000653,attachment,The judge observed the scientist with the microscope.,"With the microscope, the judge observed the scientist.",sim_3,pilot_simulated_v1,2.11,3.57,5.0,5.0,3.54,3.25,,True,simulated
neg_001271,negation,The researcher visited the musician.,The researcher did not visit the musician.,sim_1,pilot_simulated_v1,2.83,4.2,5.0,5.0,3.28,3.37,,True,simulated
neg_001271,negation,The researcher visited the musician.,The researcher did not visit the musician.,sim_2,pilot_simulated_v1,3.7,4.57,5.0,5.0,4.26,4.13,,True,simulated
neg_001271,negation,The researcher visited the musician.,The researcher did not visit the musician.,sim_3,pilot_simulated_v1,3.92,4.39,5.0,5.0,4.56,3.25,,True,simulated
neg_001125,negation,The chef hired the athlete.,The chef did not hire the athlete.,sim_1,pilot_simulated_v1,2.89,4.04,5.0,5.0,4.03,3.83,,True,simulated
neg_001125,negation,The chef hired the athlete.,The chef did not hire the athlete.,sim_2,pilot_simulated_v1,4.05,3.15,5.0,5.0,4.33,3.68,,True,simulated
neg_001125,negation,The chef hired the athlete.,The chef did not hire the athlete.,sim_3,pilot_simulated_v1,3.47,3.29,5.0,5.0,3.65,3.93,,True,simulated
attach_001164,attachment,The teacher noticed the teacher with the umbrella.,The teacher noticed the teacher who had the umbrella.,sim_1,pilot_simulated_v1,2.89,4.61,5.0,5.0,3.65,4.15,,True,simulated
attach_001164,attachment,The teacher noticed the teacher with the umbrella.,The teacher noticed the teacher who had the umbrella.,sim_2,pilot_simulated_v1,2.16,4.1,5.0,5.0,3.46,4.37,,True,simulated
attach_001164,attachment,The teacher noticed the teacher with the umbrella.,The teacher noticed the teacher who had the umbrella.,sim_3,pilot_simulated_v1,3.54,3.31,5.0,5.0,4.49,3.35,,True,simulated
neg_001448,negation,The lawyer did not greet the judge.,The lawyer greeted the judge.,sim_1,pilot_simulated_v1,3.29,3.01,5.0,5.0,3.91,3.17,,True,simulated
neg_001448,negation,The lawyer did not greet the judge.,The lawyer greeted the judge.,sim_2,pilot_simulated_v1,3.93,3.95,5.0,5.0,3.87,4.14,,True,simulated
neg_001448,negation,The lawyer did not greet the judge.,The lawyer greeted the judge.,sim_3,pilot_simulated_v1,3.17,3.46,5.0,5.0,3.78,3.0,,True,simulated
role_000478,role_reversal,The manager supported the teacher.,The teacher supported the manager.,sim_1,pilot_simulated_v1,4.82,2.98,5.0,5.0,3.36,4.28,,True,simulated
role_000478,role_reversal,The manager supported the teacher.,The teacher supported the manager.,sim_2,pilot_simulated_v1,4.71,3.7,5.0,5.0,3.87,3.22,,True,simulated
role_000478,role_reversal,The manager supported the teacher.,The teacher supported the manager.,sim_3,pilot_simulated_v1,3.4,3.84,5.0,5.0,3.59,3.24,,True,simulated
role_000566,role_reversal,The doctor interviewed the nurse.,The nurse interviewed the doctor.,sim_1,pilot_simulated_v1,4.85,2.84,5.0,5.0,3.78,4.2,,True,simulated
role_000566,role_reversal,The doctor interviewed the nurse.,The nurse interviewed the doctor.,sim_2,pilot_simulated_v1,4.59,3.01,5.0,5.0,4.39,3.9,,True,simulated
role_000566,role_reversal,The doctor interviewed the nurse.,The nurse interviewed the doctor.,sim_3,pilot_simulated_v1,4.41,4.69,5.0,5.0,4.48,3.96,,True,simulated
role_000495,role_reversal,The nurse ignored the manager.,The manager ignored the nurse.,sim_1,pilot_simulated_v1,4.63,3.78,5.0,5.0,4.08,4.31,,True,simulated
role_000495,role_reversal,The nurse ignored the manager.,The manager ignored the nurse.,sim_2,pilot_simulated_v1,4.39,3.55,5.0,5.0,3.23,4.26,,True,simulated
role_000495,role_reversal,The nurse ignored the manager.,The manager ignored the nurse.,sim_3,pilot_simulated_v1,3.94,3.66,5.0,5.0,3.66,3.89,,True,simulated
attach_001291,attachment,"With the badge, the passenger questioned the officer.",The passenger questioned the officer who had the badge.,sim_1,pilot_simulated_v1,2.64,4.47,5.0,5.0,4.15,3.89,,True,simulated
attach_001291,attachment,"With the badge, the passenger questioned the officer.",The passenger questioned the officer who had the badge.,sim_2,pilot_simulated_v1,3.25,3.68,5.0,5.0,4.06,4.2,,True,simulated
attach_001291,attachment,"With the badge, the passenger questioned the officer.",The passenger questioned the officer who had the badge.,sim_3,pilot_simulated_v1,3.16,4.29,5.0,5.0,4.63,3.89,,True,simulated
attach_001251,attachment,The artist showed the guide with the map.,The artist showed the guide who had the map.,sim_1,pilot_simulated_v1,2.89,3.18,5.0,5.0,3.59,3.7,,True,simulated
attach_001251,attachment,The artist showed the guide with the map.,The artist showed the guide who had the map.,sim_2,pilot_simulated_v1,2.8,4.6,5.0,5.0,3.27,3.56,,True,simulated
attach_001251,attachment,The artist showed the guide with the map.,The artist showed the guide who had the map.,sim_3,pilot_simulated_v1,3.18,3.72,5.0,5.0,4.56,3.26,,True,simulated
role_001467,role_reversal,The doctor praised the passenger.,The passenger praised the doctor.,sim_1,pilot_simulated_v1,4.63,3.66,5.0,5.0,4.11,3.09,,True,simulated
role_001467,role_reversal,The doctor praised the passenger.,The passenger praised the doctor.,sim_2,pilot_simulated_v1,4.04,4.41,5.0,5.0,4.38,3.9,,True,simulated
role_001467,role_reversal,The doctor praised the passenger.,The passenger praised the doctor.,sim_3,pilot_simulated_v1,4.08,2.88,5.0,5.0,4.32,3.71,,True,simulated
attach_001077,attachment,The chef noticed the teacher with the umbrella.,The chef noticed the teacher who had the umbrella.,sim_1,pilot_simulated_v1,3.16,4.02,5.0,5.0,3.84,4.4,,True,simulated
attach_001077,attachment,The chef noticed the teacher with the umbrella.,The chef noticed the teacher who had the umbrella.,sim_2,pilot_simulated_v1,2.21,4.72,5.0,5.0,3.34,4.55,,True,simulated
attach_001077,attachment,The chef noticed the teacher with the umbrella.,The chef noticed the teacher who had the umbrella.,sim_3,pilot_simulated_v1,2.94,3.7,5.0,5.0,4.7,3.82,,True,simulated
attach_000468,attachment,The doctor saw the man with the telescope.,The doctor saw the man who had the telescope.,sim_1,pilot_simulated_v1,2.81,2.92,5.0,5.0,4.48,4.02,,True,simulated
attach_000468,attachment,The doctor saw the man with the telescope.,The doctor saw the man who had the telescope.,sim_2,pilot_simulated_v1,2.38,3.03,5.0,5.0,3.87,4.5,,True,simulated
attach_000468,attachment,The doctor saw the man with the telescope.,The doctor saw the man who had the telescope.,sim_3,pilot_simulated_v1,3.39,3.73,5.0,5.0,3.26,4.33,,True,simulated
role_001169,role_reversal,The passenger called the journalist.,The journalist called the passenger.,sim_1,pilot_simulated_v1,3.72,4.26,5.0,5.0,4.0,4.54,,True,simulated
role_001169,role_reversal,The passenger called the journalist.,The journalist called the passenger.,sim_2,pilot_simulated_v1,3.64,4.39,5.0,5.0,4.35,3.03,,True,simulated
role_001169,role_reversal,The passenger called the journalist.,The journalist called the passenger.,sim_3,pilot_simulated_v1,4.3,3.39,5.0,5.0,4.31,4.54,,True,simulated
neg_001302,negation,The nurse did not greet the athlete.,The nurse greeted the athlete.,sim_1,pilot_simulated_v1,3.87,3.79,5.0,5.0,4.17,3.4,,True,simulated
neg_001302,negation,The nurse did not greet the athlete.,The nurse greeted the athlete.,sim_2,pilot_simulated_v1,3.55,3.03,5.0,5.0,4.35,3.11,,True,simulated
neg_001302,negation,The nurse did not greet the athlete.,The nurse greeted the athlete.,sim_3,pilot_simulated_v1,3.64,3.16,5.0,5.0,4.1,3.09,,True,simulated
role_001465,role_reversal,The manager promoted the journalist.,The journalist promoted the manager.,sim_1,pilot_simulated_v1,3.44,4.05,5.0,5.0,4.35,4.42,,True,simulated
role_001465,role_reversal,The manager promoted the journalist.,The journalist promoted the manager.,sim_2,pilot_simulated_v1,4.48,4.79,5.0,5.0,3.43,4.01,,True,simulated
role_001465,role_reversal,The manager promoted the journalist.,The journalist promoted the manager.,sim_3,pilot_simulated_v1,4.42,3.15,5.0,5.0,3.42,3.38,,True,simulated
neg_001259,negation,The manager contacted the athlete.,The manager did not contact the athlete.,sim_1,pilot_simulated_v1,3.64,4.37,5.0,5.0,4.34,3.91,,True,simulated
neg_001259,negation,The manager contacted the athlete.,The manager did not contact the athlete.,sim_2,pilot_simulated_v1,2.92,4.24,5.0,5.0,4.02,3.27,,True,simulated
neg_001259,negation,The manager contacted the athlete.,The manager did not contact the athlete.,sim_3,pilot_simulated_v1,3.79,3.29,5.0,5.0,3.69,3.72,,True,simulated
neg_000040,negation,The lawyer did not admire the driver.,The lawyer admired the driver.,sim_1,pilot_simulated_v1,4.0,3.01,5.0,5.0,3.91,3.38,,True,simulated
neg_000040,negation,The lawyer did not admire the driver.,The lawyer admired the driver.,sim_2,pilot_simulated_v1,3.87,4.43,5.0,5.0,3.62,4.15,,True,simulated
neg_000040,negation,The lawyer did not admire the driver.,The lawyer admired the driver.,sim_3,pilot_simulated_v1,3.54,3.24,5.0,5.0,3.64,3.86,,True,simulated
attach_000826,attachment,"With the telescope, the writer saw the man.",The writer saw the man who had the telescope.,sim_1,pilot_simulated_v1,3.29,4.0,5.0,5.0,3.2,4.25,,True,simulated
attach_000826,attachment,"With the telescope, the writer saw the man.",The writer saw the man who had the telescope.,sim_2,pilot_simulated_v1,2.93,3.65,5.0,5.0,3.59,3.71,,True,simulated
attach_000826,attachment,"With the telescope, the writer saw the man.",The writer saw the man who had the telescope.,sim_3,pilot_simulated_v1,3.11,3.34,5.0,5.0,3.42,4.41,,True,simulated
neg_001030,negation,The athlete did not thank the student.,The athlete thanked the student.,sim_1,pilot_simulated_v1,3.51,2.94,5.0,5.0,4.63,3.18,,True,simulated
neg_001030,negation,The athlete did not thank the student.,The athlete thanked the student.,sim_2,pilot_simulated_v1,3.38,4.04,5.0,5.0,4.26,4.44,,True,simulated
neg_001030,negation,The athlete did not thank the student.,The athlete thanked the student.,sim_3,pilot_simulated_v1,3.08,3.94,5.0,5.0,4.61,3.75,,True,simulated
neg_000907,negation,The coach helped the passenger.,The coach did not help the passenger.,sim_1,pilot_simulated_v1,3.94,3.73,5.0,5.0,4.35,4.53,,True,simulated
neg_000907,negation,The coach helped the passenger.,The coach did not help the passenger.,sim_2,pilot_simulated_v1,3.34,4.27,5.0,5.0,3.75,4.42,,True,simulated
neg_000907,negation,The coach helped the passenger.,The coach did not help the passenger.,sim_3,pilot_simulated_v1,4.02,4.52,5.0,5.0,4.6,3.95,,True,simulated
attach_000961,attachment,"With the camera, the student photographed the tourist.",The student photographed the tourist who had the camera.,sim_1,pilot_simulated_v1,3.52,3.11,5.0,5.0,4.12,3.12,,True,simulated
attach_000961,attachment,"With the camera, the student photographed the tourist.",The student photographed the tourist who had the camera.,sim_2,pilot_simulated_v1,2.93,4.17,5.0,5.0,3.66,4.3,,True,simulated
attach_000961,attachment,"With the camera, the student photographed the tourist.",The student photographed the tourist who had the camera.,sim_3,pilot_simulated_v1,2.67,3.19,5.0,5.0,3.51,3.92,,True,simulated
role_000645,role_reversal,The student helped the journalist.,The journalist helped the student.,sim_1,pilot_simulated_v1,4.01,2.89,5.0,5.0,3.69,4.56,,True,simulated
role_000645,role_reversal,The student helped the journalist.,The journalist helped the student.,sim_2,pilot_simulated_v1,4.16,4.17,5.0,5.0,3.88,3.11,,True,simulated
role_000645,role_reversal,The student helped the journalist.,The journalist helped the student.,sim_3,pilot_simulated_v1,4.38,3.22,5.0,5.0,3.4,3.99,,True,simulated
neg_000657,negation,The student visited the nurse.,The student did not visit the nurse.,sim_1,pilot_simulated_v1,3.88,2.82,5.0,5.0,4.71,3.03,,True,simulated
neg_000657,negation,The student visited the nurse.,The student did not visit the nurse.,sim_2,pilot_simulated_v1,3.07,3.46,5.0,5.0,4.48,4.19,,True,simulated
neg_000657,negation,The student visited the nurse.,The student did not visit the nurse.,sim_3,pilot_simulated_v1,3.99,3.66,5.0,5.0,4.66,3.21,,True,simulated
attach_000109,attachment,"With the flashlight, the student checked the driver.",The student checked the driver who had the flashlight.,sim_1,pilot_simulated_v1,3.54,2.9,5.0,5.0,3.45,4.2,,True,simulated
attach_000109,attachment,"With the flashlight, the student checked the driver.",The student checked the driver who had the flashlight.,sim_2,pilot_simulated_v1,3.23,4.15,5.0,5.0,3.6,4.39,,True,simulated
attach_000109,attachment,"With the flashlight, the student checked the driver.",The student checked the driver who had the flashlight.,sim_3,pilot_simulated_v1,2.82,3.21,5.0,5.0,3.35,4.58,,True,simulated
role_000856,role_reversal,The writer visited the engineer.,The engineer visited the writer.,sim_1,pilot_simulated_v1,3.49,3.24,5.0,5.0,3.77,4.43,,True,simulated
role_000856,role_reversal,The writer visited the engineer.,The engineer visited the writer.,sim_2,pilot_simulated_v1,4.73,4.48,5.0,5.0,4.21,3.02,,True,simulated
role_000856,role_reversal,The writer visited the engineer.,The engineer visited the writer.,sim_3,pilot_simulated_v1,4.58,3.18,5.0,5.0,4.72,4.55,,True,simulated
neg_000832,negation,The scientist did not visit the journalist.,The scientist visited the journalist.,sim_1,pilot_simulated_v1,2.91,4.26,5.0,5.0,3.59,3.17,,True,simulated
neg_000832,negation,The scientist did not visit the journalist.,The scientist visited the journalist.,sim_2,pilot_simulated_v1,4.2,3.68,5.0,5.0,3.67,3.9,,True,simulated
neg_000832,negation,The scientist did not visit the journalist.,The scientist visited the journalist.,sim_3,pilot_simulated_v1,2.9,3.65,5.0,5.0,4.24,4.38,,True,simulated
role_000208,role_reversal,The lawyer criticized the chef.,The chef criticized the lawyer.,sim_1,pilot_simulated_v1,3.6,4.59,5.0,5.0,3.37,3.33,,True,simulated
role_000208,role_reversal,The lawyer criticized the chef.,The chef criticized the lawyer.,sim_2,pilot_simulated_v1,3.93,3.14,5.0,5.0,3.35,4.05,,True,simulated
